configuration,trip,tp,fp,fn,precision,recall,f1,composite,mae_critical,suppressed_candidates
s0.25_m3_d5.0,T01-Sample,7,14,3,0.333333,0.700000,0.451613,41.210966,40.547292,341
s0.25_m3_d5.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.434054,31.464008,141
s0.25_m3_d5.0,T03-Sample,8,4,21,0.666667,0.275862,0.390244,33.141697,62.230818,631
s0.25_m3_d5.0,T04-Sample,37,8,15,0.822222,0.711538,0.762887,50.120248,37.155081,296
s0.25_m3_d5.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.105757,64.331474,404
s0.25_m3_d5.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,38.995605,33.105414,879
s0.25_m3_d6.0,T01-Sample,7,14,3,0.333333,0.700000,0.451613,41.210966,40.547292,341
s0.25_m3_d6.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.434054,31.464008,101
s0.25_m3_d6.0,T03-Sample,8,4,21,0.666667,0.275862,0.390244,33.141697,62.230818,506
s0.25_m3_d6.0,T04-Sample,37,8,15,0.822222,0.711538,0.762887,50.120248,37.155081,282
s0.25_m3_d6.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.105757,64.331474,402
s0.25_m3_d6.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,38.995605,33.105414,858
s0.25_m4_d4.0,T01-Sample,7,14,3,0.333333,0.700000,0.451613,41.210966,40.547292,324
s0.25_m4_d4.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.419259,31.464008,146
s0.25_m4_d4.0,T03-Sample,8,4,21,0.666667,0.275862,0.390244,33.135447,62.230818,695
s0.25_m4_d4.0,T04-Sample,37,8,15,0.822222,0.711538,0.762887,50.120248,37.155081,323
s0.25_m4_d4.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.105757,64.331474,428
s0.25_m4_d4.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,38.995605,33.105414,856
s0.25_m4_d5.0,T01-Sample,7,14,3,0.333333,0.700000,0.451613,41.210966,40.547292,322
s0.25_m4_d5.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.419259,31.464008,112
s0.25_m4_d5.0,T03-Sample,8,4,21,0.666667,0.275862,0.390244,33.135447,62.230818,586
s0.25_m4_d5.0,T04-Sample,37,8,15,0.822222,0.711538,0.762887,50.120248,37.155081,286
s0.25_m4_d5.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.105757,64.331474,394
s0.25_m4_d5.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,38.995605,33.105414,839
s0.25_m4_d6.0,T01-Sample,7,14,3,0.333333,0.700000,0.451613,41.210966,40.547292,322
s0.25_m4_d6.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.419259,31.464008,86
s0.25_m4_d6.0,T03-Sample,8,4,21,0.666667,0.275862,0.390244,33.135447,62.230818,472
s0.25_m4_d6.0,T04-Sample,37,8,15,0.822222,0.711538,0.762887,50.120248,37.155081,273
s0.25_m4_d6.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.105757,64.331474,392
s0.25_m4_d6.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,38.995605,33.105414,819
s0.3_m2_d4.0,T01-Sample,7,14,3,0.333333,0.700000,0.451613,41.210966,40.547292,371
s0.3_m2_d4.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.446021,31.464008,232
s0.3_m2_d4.0,T03-Sample,7,3,22,0.700000,0.241379,0.358974,31.989291,65.314401,827
s0.3_m2_d4.0,T04-Sample,37,8,15,0.822222,0.711538,0.762887,50.120248,37.155081,349
s0.3_m2_d4.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.105757,64.331474,460
s0.3_m2_d4.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,38.995605,33.105414,951
s0.3_m2_d5.0,T01-Sample,7,14,3,0.333333,0.700000,0.451613,41.210966,40.547292,366
s0.3_m2_d5.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.446021,31.464008,181
s0.3_m2_d5.0,T03-Sample,8,3,21,0.727273,0.275862,0.400000,33.527421,62.230818,692
s0.3_m2_d5.0,T04-Sample,37,8,15,0.822222,0.711538,0.762887,50.120248,37.155081,309
s0.3_m2_d5.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.105757,64.331474,417
s0.3_m2_d5.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,38.995605,33.105414,922
s0.3_m2_d6.0,T01-Sample,7,14,3,0.333333,0.700000,0.451613,41.210966,40.547292,366
s0.3_m2_d6.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.446021,31.464008,124
s0.3_m2_d6.0,T03-Sample,8,3,21,0.727273,0.275862,0.400000,33.527421,62.230818,557
s0.3_m2_d6.0,T04-Sample,37,8,15,0.822222,0.711538,0.762887,50.120248,37.155081,294
s0.3_m2_d6.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.105757,64.331474,415
s0.3_m2_d6.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,38.995605,33.105414,898
s0.3_m3_d4.0,T01-Sample,7,14,3,0.333333,0.700000,0.451613,41.210966,40.547292,344
s0.3_m3_d4.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.434054,31.464008,183
s0.3_m3_d4.0,T03-Sample,8,4,21,0.666667,0.275862,0.390244,33.141697,62.230818,750
s0.3_m3_d4.0,T04-Sample,37,8,15,0.822222,0.711538,0.762887,50.120248,37.155081,334
s0.3_m3_d4.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.105757,64.331474,442
s0.3_m3_d4.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,38.995605,33.105414,901
s0.3_m3_d5.0,T01-Sample,7,14,3,0.333333,0.700000,0.451613,41.210966,40.547292,341
s0.3_m3_d5.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.434054,31.464008,141
s0.3_m3_d5.0,T03-Sample,8,4,21,0.666667,0.275862,0.390244,33.141697,62.230818,631
s0.3_m3_d5.0,T04-Sample,37,8,15,0.822222,0.711538,0.762887,50.120248,37.155081,296
s0.3_m3_d5.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.105757,64.331474,404
s0.3_m3_d5.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,38.995605,33.105414,879
s0.3_m3_d6.0,T01-Sample,7,14,3,0.333333,0.700000,0.451613,41.210966,40.547292,341
s0.3_m3_d6.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.434054,31.464008,101
s0.3_m3_d6.0,T03-Sample,8,4,21,0.666667,0.275862,0.390244,33.141697,62.230818,506
s0.3_m3_d6.0,T04-Sample,37,8,15,0.822222,0.711538,0.762887,50.120248,37.155081,282
s0.3_m3_d6.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.105757,64.331474,402
s0.3_m3_d6.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,38.995605,33.105414,858
s0.3_m4_d4.0,T01-Sample,7,14,3,0.333333,0.700000,0.451613,41.210966,40.547292,324
s0.3_m4_d4.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.419259,31.464008,146
s0.3_m4_d4.0,T03-Sample,8,4,21,0.666667,0.275862,0.390244,33.135447,62.230818,695
s0.3_m4_d4.0,T04-Sample,37,8,15,0.822222,0.711538,0.762887,50.120248,37.155081,323
s0.3_m4_d4.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.105757,64.331474,428
s0.3_m4_d4.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,38.995605,33.105414,856
s0.3_m4_d5.0,T01-Sample,7,14,3,0.333333,0.700000,0.451613,41.210966,40.547292,322
s0.3_m4_d5.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.419259,31.464008,112
s0.3_m4_d5.0,T03-Sample,8,4,21,0.666667,0.275862,0.390244,33.135447,62.230818,586
s0.3_m4_d5.0,T04-Sample,37,8,15,0.822222,0.711538,0.762887,50.120248,37.155081,286
s0.3_m4_d5.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.105757,64.331474,394
s0.3_m4_d5.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,38.995605,33.105414,839
s0.3_m4_d6.0,T01-Sample,7,14,3,0.333333,0.700000,0.451613,41.210966,40.547292,322
s0.3_m4_d6.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.419259,31.464008,86
s0.3_m4_d6.0,T03-Sample,8,4,21,0.666667,0.275862,0.390244,33.135447,62.230818,472
s0.3_m4_d6.0,T04-Sample,37,8,15,0.822222,0.711538,0.762887,50.120248,37.155081,273
s0.3_m4_d6.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.105757,64.331474,392
s0.3_m4_d6.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,38.995605,33.105414,819
