configuration,trip,tp,fp,fn,precision,recall,f1,composite,mae_critical,suppressed_candidates
s0.25_m2_d4.0,T01-Sample,7,12,3,0.368421,0.700000,0.482759,42.258021,40.547292,618
s0.25_m2_d4.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.446021,31.464008,241
s0.25_m2_d4.0,T03-Sample,4,0,25,1.000000,0.137931,0.242424,28.715718,80.066688,936
s0.25_m2_d4.0,T04-Sample,35,8,17,0.813953,0.673077,0.736842,49.229366,39.712299,390
s0.25_m2_d4.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.109769,64.331474,541
s0.25_m2_d4.0,T06-Sample,45,8,15,0.849057,0.750000,0.796460,38.577082,34.116661,1152
s0.25_m2_d5.0,T01-Sample,7,12,3,0.368421,0.700000,0.482759,42.258021,40.547292,613
s0.25_m2_d5.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.446021,31.464008,190
s0.25_m2_d5.0,T03-Sample,5,0,24,1.000000,0.172414,0.294118,30.573880,76.983105,801
s0.25_m2_d5.0,T04-Sample,35,8,17,0.813953,0.673077,0.736842,49.229366,39.712299,350
s0.25_m2_d5.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.109769,64.331474,498
s0.25_m2_d5.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,39.003807,33.105414,1122
s0.25_m2_d6.0,T01-Sample,7,12,3,0.368421,0.700000,0.482759,42.258021,40.547292,613
s0.25_m2_d6.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.446021,31.464008,132
s0.25_m2_d6.0,T03-Sample,5,0,24,1.000000,0.172414,0.294118,30.573880,76.983105,666
s0.25_m2_d6.0,T04-Sample,35,8,17,0.813953,0.673077,0.736842,49.229366,39.712299,335
s0.25_m2_d6.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.109769,64.331474,496
s0.25_m2_d6.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,39.003807,33.105414,1098
s0.25_m3_d4.0,T01-Sample,7,12,3,0.368421,0.700000,0.482759,42.258021,40.547292,609
s0.25_m3_d4.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.434054,31.464008,193
s0.25_m3_d4.0,T03-Sample,5,0,24,1.000000,0.172414,0.294118,30.568713,76.983105,869
s0.25_m3_d4.0,T04-Sample,35,8,17,0.813953,0.673077,0.736842,49.229366,39.712299,378
s0.25_m3_d4.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.109769,64.331474,526
s0.25_m3_d4.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,39.003807,33.105414,1110
s0.25_m3_d5.0,T01-Sample,7,12,3,0.368421,0.700000,0.482759,42.258021,40.547292,606
s0.25_m3_d5.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.434054,31.464008,151
s0.25_m3_d5.0,T03-Sample,5,0,24,1.000000,0.172414,0.294118,30.568713,76.983105,750
s0.25_m3_d5.0,T04-Sample,35,8,17,0.813953,0.673077,0.736842,49.229366,39.712299,340
s0.25_m3_d5.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.109769,64.331474,488
s0.25_m3_d5.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,39.003807,33.105414,1088
s0.25_m3_d6.0,T01-Sample,7,12,3,0.368421,0.700000,0.482759,42.258021,40.547292,606
s0.25_m3_d6.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.434054,31.464008,111
s0.25_m3_d6.0,T03-Sample,5,0,24,1.000000,0.172414,0.294118,30.568713,76.983105,625
s0.25_m3_d6.0,T04-Sample,35,8,17,0.813953,0.673077,0.736842,49.229366,39.712299,326
s0.25_m3_d6.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.109769,64.331474,486
s0.25_m3_d6.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,39.003807,33.105414,1067
s0.25_m4_d4.0,T01-Sample,7,12,3,0.368421,0.700000,0.482759,42.258021,40.547292,602
s0.25_m4_d4.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.419259,31.464008,156
s0.25_m4_d4.0,T03-Sample,5,0,24,1.000000,0.172414,0.294118,30.568713,76.983105,818
s0.25_m4_d4.0,T04-Sample,35,8,17,0.813953,0.673077,0.736842,49.229366,39.712299,370
s0.25_m4_d4.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.109769,64.331474,516
s0.25_m4_d4.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,38.979501,33.105414,1075
s0.25_m4_d5.0,T01-Sample,7,12,3,0.368421,0.700000,0.482759,42.258021,40.547292,600
s0.25_m4_d5.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.419259,31.464008,122
s0.25_m4_d5.0,T03-Sample,5,0,24,1.000000,0.172414,0.294118,30.568713,76.983105,709
s0.25_m4_d5.0,T04-Sample,35,8,17,0.813953,0.673077,0.736842,49.229366,39.712299,333
s0.25_m4_d5.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.109769,64.331474,482
s0.25_m4_d5.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,38.979501,33.105414,1058
s0.25_m4_d6.0,T01-Sample,7,12,3,0.368421,0.700000,0.482759,42.258021,40.547292,600
s0.25_m4_d6.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.419259,31.464008,95
s0.25_m4_d6.0,T03-Sample,5,0,24,1.000000,0.172414,0.294118,30.568713,76.983105,595
s0.25_m4_d6.0,T04-Sample,35,8,17,0.813953,0.673077,0.736842,49.229366,39.712299,320
s0.25_m4_d6.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.109769,64.331474,480
s0.25_m4_d6.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,38.979501,33.105414,1038
s0.3_m2_d4.0,T01-Sample,7,12,3,0.368421,0.700000,0.482759,42.258021,40.547292,618
s0.3_m2_d4.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.446021,31.464008,241
s0.3_m2_d4.0,T03-Sample,4,0,25,1.000000,0.137931,0.242424,28.715718,80.066688,937
s0.3_m2_d4.0,T04-Sample,35,8,17,0.813953,0.673077,0.736842,49.229366,39.712299,390
s0.3_m2_d4.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.109769,64.331474,541
s0.3_m2_d4.0,T06-Sample,45,8,15,0.849057,0.750000,0.796460,38.577082,34.116661,1152
s0.3_m2_d5.0,T01-Sample,7,12,3,0.368421,0.700000,0.482759,42.258021,40.547292,613
s0.3_m2_d5.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.446021,31.464008,190
s0.3_m2_d5.0,T03-Sample,5,0,24,1.000000,0.172414,0.294118,30.573880,76.983105,802
s0.3_m2_d5.0,T04-Sample,35,8,17,0.813953,0.673077,0.736842,49.229366,39.712299,350
s0.3_m2_d5.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.109769,64.331474,498
s0.3_m2_d5.0,T06-Sample,46,8,14,0.851852,0.766667,0.807018,39.003807,33.105414,1122
s0.3_m2_d6.0,T01-Sample,7,12,3,0.368421,0.700000,0.482759,42.258021,40.547292,613
s0.3_m2_d6.0,T02-Sample,13,3,5,0.812500,0.722222,0.764706,46.446021,31.464008,132
s0.3_m2_d6.0,T03-Sample,5,0,24,1.000000,0.172414,0.294118,30.573880,76.983105,667
s0.3_m2_d6.0,T04-Sample,35,8,17,0.813953,0.673077,0.736842,49.229366,39.712299,335
s0.3_m2_d6.0,T05-Sample,12,45,23,0.210526,0.342857,0.260870,31.109769,64.331474,496
